# run	81821033
# key	spec	kept	seed	order	x	killer	symm	diff
s472	2x3xkmd4da	0	81821033-472	6	1	1	6	3
s473	2x3xkmd4de	0	81821033-473	6	1	1	6	4
s474	2x3xkmd4du	0	81821033-474	6	1	1	6	5
s475	2x3xkm8	0	81821033-475	6	1	1	7	0
s476	2x3xkm8db	0	81821033-476	6	1	1	7	1
s477	2x3xkm8di	0	81821033-477	6	1	1	7	2
s478	2x3xkm8da	0	81821033-478	6	1	1	7	3
s479	2x3xkm8de	0	81821033-479	6	1	1	7	4
s480	2x3xkm8du	0	81821033-480	6	1	1	7	5
s481	2x4a	1	81821033-481	8	0	0	0	0
s482	2x4adb	1	81821033-482	8	0	0	0	1
s483	2x4adi	1	81821033-483	8	0	0	0	2
s484	2x4ada	1	81821033-484	8	0	0	0	3
s485	2x4ade	1	81821033-485	8	0	0	0	4
s486	2x4adu	1	81821033-486	8	0	0	0	5
s487	2x4	1	81821033-487	8	0	0	1	0
